"","species","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21"
"1","Abiotrophia_defectiva",0.00130963,0.000132701,6.92e-05,0.000174816,0.000656849,0.000137103,7.41e-05,0.000128932,0.000639263,0.000163575,0.000294006,6.72e-05,0.002512603,0.006579536,0.000892189,3.32e-05,0.000271823,0.000216022,0.000111491,8.67e-05,0.000312366
"2","Acidaminococcus_fermentans",0,1.66e-05,0,0,0,0,0,2.58e-05,0,0,0,0.000655561,0,0,0,0,0,0,0,0,0
"3","Acidaminococcus_intestini",0,0,0,0,0,0,0,7.74e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acinetobacter_baumannii",1.51e-05,3.32e-05,0,0,0,1.52e-05,0,2.58e-05,0,0,0,3.36e-05,0.000257703,0,3.19e-05,0,0,0,0,1.73e-05,1.64e-05
"5","Acinetobacter_indicus",0,0,0,0,0,6.09e-05,0,0.000103146,0,0,0,0.00045385,0,0,0,0,0,0,0,0,0
"6","Acinetobacter_junii",1.51e-05,0,0,1.75e-05,1.73e-05,0.000319907,0.000251844,0.000232078,7.43e-05,8.18e-05,0.000154003,0.000773226,0.005782209,0,3.19e-05,1.66e-05,1.81e-05,4.99e-05,1.86e-05,0.000225432,3.29e-05
"7","Acinetobacter_lwoffii",0,0.000132701,0,0,0,0.000258973,0.000918491,0.000567303,0,6.54e-05,0,0.001966684,0.000209384,4.48e-05,6.37e-05,0,0,0,0,0,0
"8","Acinetobacter_ursingii",0,0,0,1.75e-05,3.46e-05,3.05e-05,1.48e-05,0,0,1.64e-05,0,0,0,0,0,0,0,0,1.86e-05,0,0
"9","Actinocorallia_longicatena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Actinomyces_georgiae",1.51e-05,8.29e-05,8.3e-05,0,0.000224711,3.05e-05,0.000429617,0.000180505,2.97e-05,0.000637943,0.000140003,6.72e-05,3.22e-05,1.49e-05,0.000366435,1.66e-05,0,3.32e-05,0,0,4.93e-05
"11","Actinomyces_gerencseriae",1.51e-05,6.64e-05,5.53e-05,0.00097897,0.001209984,0,0.000192587,7.74e-05,0.00165019,0.000245363,5.6e-05,5.04e-05,0.000112745,0,4.78e-05,0,0,8.31e-05,0.000148655,0.000242773,1.64e-05
"12","Actinomyces_graevenitzii",0.00206229,0.000248814,0.015712093,0.008391168,0.016836064,0.001096825,0.003733223,0.002062919,0.001070393,0.003173357,0.006160136,0.022070565,0.000177171,0.001208486,0.008157153,0.002124728,0.003243753,0.013576164,0.006763788,0.007352559,6.58e-05
"13","Actinomyces_haliotis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Actinomyces_massiliensis",0.000150532,4.98e-05,0.000138311,0.001258675,0.000622278,0.000137103,0.001362923,0.000696235,0.001174459,0.000343508,0.000672015,0.00068918,0.000273809,8.95e-05,0.000207115,0.000365188,3.62e-05,3.32e-05,0.000167237,0.000416183,0.000279486
"15","Actinomyces_odontolyticus",0.022098117,0.003665859,0.020649784,0.017219377,0.042280301,0.0028944,0.017243934,0.005982465,0.009633539,0.007491739,0.006664147,0.025987124,0.00207773,0.029406499,0.010339828,0.015570274,0.008335901,0.019209359,0.033781775,0.014184889,0.001150824
"16","Actinomyces_timonensis",7.53e-05,6.64e-05,0,0,8.64e-05,0,1.48e-05,0,0,0,0,0,0,0,0,1.66e-05,0,0,0,0,0
"17","Adhaeribacter_aquaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29e-05
"18","Aeriscardovia_aeriphila",0,0,0,0,0,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0
"19","Agromyces_ramosus",0,0,0,0,0,0.000121869,0,0,0,0,0,0,0,0,1.59e-05,0,0,0,0,0,0
"20","Akkermansia_muciniphila",0,0,1.38e-05,0,0,1.52e-05,7.41e-05,0.000103146,0,0,0,3.36e-05,0,0,1.59e-05,0,0,0,0,0,0
"21","Algoriphagus_taiwanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Aliifodinibius_roseus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Aliifodinibius_sediminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
