"","phylum","species"
"1","Firmicutes","Abiotrophia_defectiva"
"2","Firmicutes","Acidaminococcus_fermentans"
"3","Firmicutes","Acidaminococcus_intestini"
"4","Proteobacteria","Acinetobacter_baumannii"
"5","Proteobacteria","Acinetobacter_indicus"
"6","Proteobacteria","Acinetobacter_junii"
"7","Proteobacteria","Acinetobacter_lwoffii"
"8","Proteobacteria","Acinetobacter_ursingii"
"9","Actinobacteria","Actinocorallia_longicatena"
"10","Actinobacteria","Actinomyces_georgiae"
"11","Actinobacteria","Actinomyces_gerencseriae"
"12","Actinobacteria","Actinomyces_graevenitzii"
"13","Actinobacteria","Actinomyces_haliotis"
"14","Actinobacteria","Actinomyces_massiliensis"
"15","Actinobacteria","Actinomyces_odontolyticus"
"16","Actinobacteria","Actinomyces_timonensis"
"17","Bacteroidetes","Adhaeribacter_aquaticus"
"18","Actinobacteria","Aeriscardovia_aeriphila"
"19","Actinobacteria","Agromyces_ramosus"
"20","Verrucomicrobia","Akkermansia_muciniphila"
"21","Bacteroidetes","Algoriphagus_taiwanensis"
"22","Bacteroidetes","Aliifodinibius_roseus"
"23","Bacteroidetes","Aliifodinibius_sediminis"
"24","Bacteroidetes","Alistipes_indistinctus"
"25","Bacteroidetes","Alistipes_onderdonkii"
"26","Bacteroidetes","Alistipes_shahii"
"27","Firmicutes","Allisonella_histaminiformans"
"28","Firmicutes","Allobaculum_stercoricanis"
"29","Bacteroidetes","Alloprevotella_rava"
"30","Bacteroidetes","Alloprevotella_tannerae"
"31","Proteobacteria","Anaerobiospirillum_succiniciproducens"
"32","Firmicutes","Anaerococcus_octavius"
"33","Firmicutes","Anaeroglobus_geminatus"
"34","Proteobacteria","Anaeromyxobacter_dehalogenans"
"35","Bacteroidetes","Anaerophaga_thermohalophila"
"36","Firmicutes","Anaerosalibacter_bizertensis"
"37","Firmicutes","Anaerotruncus_colihominis"
"38","Proteobacteria","Andreprevotia_lacus"
"39","Firmicutes","Anoxybacter_fermentans"
"40","Proteobacteria","Aquicella_siphonis"
"41","Actinobacteria","Aquihabitans_daechungensis"
"42","Proteobacteria","Asticcacaulis_excentricus"
"43","Actinobacteria","Atopobium_vaginae"
"44","Firmicutes","Atopostipes_suicloacalis"
"45","Proteobacteria","Azospira_oryzae"
"46","Firmicutes","Bacillus_coagulans"
"47","Firmicutes","Bacillus_funiculus"
"48","Firmicutes","Bacillus_kokeshiiformis"
"49","Firmicutes","Bacillus_oleronius"
"50","Firmicutes","Bacillus_thermoamylovorans"
"51","Firmicutes","Bacillus_thermocloacae"
"52","Bacteroidetes","Bacteroides_barnesiae"
"53","Bacteroidetes","Bacteroides_coprocola"
"54","Bacteroidetes","Bacteroides_coprophilus"
"55","Bacteroidetes","Bacteroides_coprosuis"
"56","Bacteroidetes","Bacteroides_eggerthii"
"57","Bacteroidetes","Bacteroides_fragilis"
"58","Bacteroidetes","Bacteroides_luti"
"59","Bacteroidetes","Bacteroides_massiliensis"
"60","Bacteroidetes","Bacteroides_ovatus"
"61","Bacteroidetes","Bacteroides_plebeius"
"62","Bacteroidetes","Bacteroides_propionicifaciens"
"63","Bacteroidetes","Bacteroides_pyogenes"
"64","Bacteroidetes","Bacteroides_salanitronis"
"65","Bacteroidetes","Bacteroides_stercoris"
"66","Bacteroidetes","Bacteroides_uniformis"
"67","Bacteroidetes","Balneola_alkaliphila"
"68","Bacteroidetes","Barnesiella_intestinihominis"
"69","Actinobacteria","Bifidobacterium_breve"
"70","Actinobacteria","Bifidobacterium_longum_subsp._infantis"
"71","Proteobacteria","Bilophila_wadsworthia"
"72","Firmicutes","Blautia_faecis"
"73","Firmicutes","Blautia_luti"
"74","Firmicutes","Blautia_wexlerae"
"75","Proteobacteria","Brevundimonas_staleyi"
"76","Firmicutes","Brochothrix_thermosphacta"
"77","Firmicutes","Bulleidia_extructa"
"78","Firmicutes","Butyricicoccus_pullicaecorum"
"79","Bacteroidetes","Butyricimonas_virosa"
"80","Proteobacteria","Campylobacter_avium"
"81","Proteobacteria","Campylobacter_gracilis"
"82","Bacteroidetes","Capnocytophaga_granulosa"
"83","Bacteroidetes","Capnocytophaga_haemolytica"
"84","Bacteroidetes","Capnocytophaga_leadbetteri"
"85","Bacteroidetes","Capnocytophaga_ochracea"
"86","Bacteroidetes","Capnocytophaga_sputigena"
"87","Bacteroidetes","Carboxylicivirga_mesophila"
"88","Proteobacteria","Cardiobacterium_hominis"
"89","Proteobacteria","Cardiobacterium_valvarum"
"90","Firmicutes","Catenibacterium_mitsuokai"
"91","Firmicutes","Catonella_morbi"
"92","Fusobacteria","Cetobacterium_somerae"
"93","Proteobacteria","Chitinimonas_taiwanensis"
"94","Bacteroidetes","Chitinophaga_rupis"
"95","Bacteroidetes","Chryseolinea_serpens"
"96","Bacteroidetes","Cloacibacterium_normanense"
"97","Firmicutes","Clostridium_bornimense"
"98","Firmicutes","Clostridium_butyricum"
"99","Firmicutes","Clostridium_colinum"
"100","Firmicutes","Clostridium_hiranonis"
"101","Firmicutes","Clostridium_huakuii"
"102","Firmicutes","Clostridium_intestinale"
"103","Firmicutes","Clostridium_lactatifermentans"
"104","Firmicutes","Clostridium_paraputrificum"
"105","Firmicutes","Clostridium_ramosum"
"106","Firmicutes","Clostridium_spiroforme"
"107","Firmicutes","Clostridium_symbiosum"
"108","Firmicutes","Clostridium_thermopalmarium"
"109","Firmicutes","Clostridium_viride"
"110","Firmicutes","Compostibacillus_humi"
"111","Firmicutes","Coprococcus_eutactus"
"112","Firmicutes","Coprothermobacter_proteolyticus"
"113","Actinobacteria","Corynebacterium_durum"
"114","Actinobacteria","Corynebacterium_imitans"
"115","Actinobacteria","Corynebacterium_matruchotii"
